candidate_id,text,voice,rate,pitch,volume,mp3_path,wav_path,distance_score
cand_0009,Winners are announced in May.,en-ZA-LukeNeural,-4%,+0Hz,+2%,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0009.mp3,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0009.wav,0.5982386488345559
cand_0039,The school was opposed by theoretical economists.,en-NG-AbeoNeural,+0%,-3Hz,-2%,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0039.mp3,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0039.wav,0.6256151416858599
cand_0054,Fruits and vegetables should be eaten during lunch.,en-TZ-ElimuNeural,+8%,+3Hz,+2%,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0054.mp3,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0054.wav,0.6293208706231768
cand_0018,The defined-benefits plan is more complex.,en-KE-AsiliaNeural,+4%,-1Hz,-2%,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0018.mp3,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0018.wav,0.7150602826181897
cand_0062,Aberdeen won their first League Title.,en-TZ-ImaniNeural,-8%,-1Hz,+2%,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0062.mp3,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0062.wav,0.7175702660617098
cand_0001,He or she must take care not to let it fall.,en-ZA-LeahNeural,+0%,+0Hz,-2%,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0001.mp3,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0001.wav,0.7419400508650754
cand_0015,It consisted of the County of Kent.,en-ZA-LukeNeural,+8%,-3Hz,+2%,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0015.mp3,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0015.wav,0.7579171803914327
cand_0037,"An aeroplane wrote ""Sorry"" in the sky.",en-NG-AbeoNeural,-8%,-1Hz,-2%,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0037.mp3,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0037.wav,0.8102888818100937
cand_0016,Because of the death of his uncle he became a pastor in Kotitz.,en-KE-AsiliaNeural,+0%,-3Hz,+0%,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0016.mp3,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0016.wav,0.8524262114639087
cand_0042,The Countess of Bedford was influential with the queen.,en-NG-EzinneNeural,+4%,+1Hz,-2%,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0042.mp3,/net/netscratch/aramacha41/funml_project/datasets/synthetic_data_generation/southern_african_south_africa_zimbabwe_namibia/candidates/cand_0042.wav,0.8711892089274943
